id_aluno,nome,idade,serie,sexo,nota_matematica,nota_portugues,frequencia,media,aprovado
71,Pietro Almeida,12,7º Ano,Masculino,"6,3","9,0",91.2,8.14,Sim
72,Júlia Cardoso,10,6º Ano,Feminino,"8,2","6,2",68.6,7.086666666666666,Sim
73,Marcela das Neves,13,9º Ano,Feminino,"9,7","0,7",77.9,6.063333333333333,Não
74,João Miguel Moura,7,2º Ano,Masculino,"2,3","9,1",85.3,6.6433333333333335,Não
75,Maria Luiza Silva,10,6º Ano,Feminino,"5,6","8,1",98.8,7.859999999999999,Sim
76,Mirella Viana,11,5º Ano,Feminino,"6,2","9,0",87.4,7.9799999999999995,Sim
77,Ana Carolina Farias,6,2º Ano,Feminino,"1,8","8,6",97.9,6.73,Não
78,Isabelly Nogueira,8,3º Ano,Feminino,"6,0","3,9",73.6,5.753333333333333,Não
79,Emilly Pereira,10,5º Ano,Feminino,"1,9","1,8",68.4,3.5133333333333336,Não
80,Juliana Lima,14,9º Ano,Feminino,"0,5","6,7",82.5,5.1499999999999995,Não
81,Maria Luiza Souza,9,5º Ano,Feminino,"4,1","4,4",77.4,5.413333333333334,Não
82,Mirella Viana,11,6º Ano,Feminino,"5,3","8,0",90.9,7.463333333333334,Sim
83,Heloísa Mendes,14,9º Ano,Feminino,"2,6","5,5",62.2,4.773333333333333,Não
84,Levi Azevedo,7,3º Ano,Masculino,"4,5","8,3",68.6,6.553333333333334,Não
85,Leonardo Nunes,15,9º Ano,Masculino,"1,3","5,6",94.2,5.44,Não
86,Felipe Teixeira,12,8º Ano,Masculino,"3,5","1,1",61.4,3.5799999999999996,Não
87,Daniela Aragão,10,5º Ano,Feminino,"0,5","8,3",84.1,5.736666666666667,Não
88,Vinicius Fogaça,8,3º Ano,Masculino,"3,9","2,9",82.4,5.013333333333333,Não
89,Daniela Rezende,6,2º Ano,Feminino,"5,6","3,1",90.0,5.8999999999999995,Não
90,Luiz Fernando da Luz,15,9º Ano,Masculino,"0,9","0,0",81.5,3.016666666666667,Não
91,Davi Luiz Vieira,13,8º Ano,Masculino,"8,9","3,0",82.7,6.723333333333334,Não
92,Samuel Campos,9,4º Ano,Masculino,"7,3","4,9",72.5,6.483333333333333,Não
93,Agatha Campos,12,7º Ano,Feminino,"8,2","0,3",89.1,5.803333333333334,Não
94,Bernardo Peixoto,7,3º Ano,Masculino,"9,7","1,9",75.8,6.3933333333333335,Não
95,Pedro Lucas da Mata,14,9º Ano,Masculino,"7,1","1,2",86.5,5.6499999999999995,Não
96,Julia das Neves,15,9º Ano,Feminino,"2,9","5,3",78.1,5.336666666666666,Não
97,João Ramos,6,1º Ano,Masculino,"9,9","7,1",71.8,8.06,Sim
98,Clarice da Mota,8,3º Ano,Feminino,"3,2","3,5",99.4,5.546666666666667,Não
99,Lucas Gabriel da Luz,11,5º Ano,Masculino,"4,5","1,2",63.6,4.0200000000000005,Não
100,Ana Sophia Nunes,8,3º Ano,Feminino,"2,2","5,0",60.7,4.423333333333333,Não
