id_aluno,nome,idade,serie,sexo,nota_matematica,nota_portugues,frequencia
80,Juliana Lima,14,9º Ano,fem,0.5,"6,7",82.5
81,Maria Luiza Souza,9,5º Ano,Feminino,"4,1","4,4",77.4
82,Mirella Viana,11,6º Ano,F,"5,3",8.0,90.9
83,Heloísa Mendes,14,9º Ano,fem,"2,6","5,5",62.2
84,Levi Azevedo,7,3º Ano,M,4.5,"8,3",68.6
85,Leonardo Nunes,15,9º Ano,M,"1,3",5.6,94.2
86,Felipe Teixeira,12,8º Ano,masc,3.5,1.1,61.4
87,Daniela Aragão,10,5º Ano,Feminino,0.5,8.3,84.1
88,Vinicius Fogaça,8,3º Ano,M,"3,9",2.9,82.4
89,Daniela Rezende,6,2º Ano,fem,5.6,"3,1",90.0
90,Luiz Fernando da Luz,15,9º Ano,M,"0,9",0.0,81.5
91,Davi Luiz Vieira,13,8º Ano,M,8.9,3.0,82.7
92,Samuel Campos,9,4º Ano,M,7.3,"4,9",72.5
93,Agatha Campos,12,7º Ano,F,8.2,0.3,89.1
94,Bernardo Peixoto,7,3º Ano,Masculino,"9,7",1.9,75.8
95,Pedro Lucas da Mata,14,9º Ano,Masculino,7.1,1.2,86.5
96,Julia das Neves,15,9º Ano,F,"2,9",5.3,78.1
97,João Ramos,6,1º Ano,M,"9,9",7.1,71.8
98,Clarice da Mota,8,3º Ano,Feminino,"3,2","3,5",99.4
99,Lucas Gabriel da Luz,11,5º Ano,M,4.5,"1,2",63.6
100,Ana Sophia Nunes,8,3º Ano,F,2.2,5.0,60.7
